source,category,title,target_raw,content,tags
교육운영데이터,박물관 체험/교육 프로그램,2025 국립해양박물관 해양문화아카데미 ‘세상을 바꾼 바다X인물’,성인,"● (프로그램명) 2025 국립해양박물관 해양문화아카데미 ‘세상을 바꾼 바다 X 인물’ ● (주제 및 내용) 바다를 매개로 역사적인 기록을 남긴 인물의 활동상과 업적, 시대상 소개 ● (교육기간) 2025년 9월 18일(목) ~ 10월 30일(목), 매주 목요일 14:00~16:00 / 6회차 ※ 10월 9일(목) 한글날은 공휴일로 강의 없음 ● (교육장소) 국립해양박물관 국제컨퍼런스홀 ● (교육대상) 누구나 ● (수강인원) 선착순 마감(회당 50명) ● (교육과정 및 구성) 회차별로 강의 일시와 강연 주제, 강연자를 안내하는 표입니다. 회차 강의일시 강연주제 강연자 1회 9.18.(목) 14:00∼16:00​ 바다로 간 구법승: 혜초의 천축국 순례​ 강희정 (서강대학교 동아연구소 교수) 2회 9.25.(목) 14:00∼16:00 콜럼버스의 항해 이후: 대양을 통한 세계의 연결과 근대로의 전환​ 박구병 (아주대학교 사학과 교수) 3회 10.2.(목) 14:00∼16:00​ 유배된 학자, 유배된 지식: 정약전, 김려, 서유구와 조선시대 3대 어보 김문기 (부경대학교 사학과 교수) 4회 10.16.(목) 14:00∼16:00 세상을 바꾼 박물학자: 찰스 다윈의 비글호 탐험과 혁명​ 홍성욱 (서울대학교 과학학과 교수) 5회 10.23.(목) 14:00∼16:00 엘리자베스1세와 영국의 해양굴기 윤영휘 (경북대학교 사학과 교수) 6회 10.30.(목) 14:00∼16:00​ 노틸러스의 항해, 시대를 품다: 쥘베른의『해저 2만리』에 담긴 과학과 문명의 상상력​ 이채영 (성신여자대학교 프랑스어문 문화학과 교수)​ ● (교육신청)​ - 신청기간 : 2025.8.19.(화) 10:00 ~10.29.(수) 23:59​ - 신청방법 : 국립해양박물관 홈페이지에서 사전예약(1~6회 각각 신청)​ ※ 상기일정은 기관 사정에 따라 변동될 수 있습니다.",세부대상:성인|기간:2025-09-18~2025-10-30
교육운영데이터,박물관 체험/교육 프로그램,제 3기 해양문화 교육사 양성 프로그램,전문가,"국립해양박물관에서는 해양문화의 저변확대와 지속가능한 교육 강화를 위하여 제 3기 해양문화 교육사 양성 프로그램을 운영합니다. 해양문화 교육 전문인력이 되고자 하시는 뜻있는 분들의 많은 관심과 참여 부탁드립니다. 모집개요 ○ 신청기간 : 2024. 4. 29.(월) 10:00 ~ 5. 31.(금) 17:00 마감 ※ 신청기간이 5/31(금) 17시까지 연장되었습니다. ○ E-mail 접수 : mmkedu@mmk.or.kr ○ 제출서류 : 지원서 및 자기소개서, 개인정보 제공 및 이용 동의서 각 1부(홈페이지 첨부자료 다운로드) ※ 관련 학력증명서, 경력증명서 및 자격증명서(사본)는 해당자에 한해서 제출 교육계획 ○ 교육기간 : 2024. 6. 19. ~ 2024. 8. 21. 총 10주 운영(매주 수, 13:30~17:30 예정) ○ 교육대상 : 관련 전공자 및 교육에 경력이 있는 자 ○ 선발인원 : 20명 내외 ○ 교육장소 : 국립해양박물관 국제컨퍼런스홀 및 전시실, 현장 답사지 등 ○ 교육내용 : 해양문화 이론, 교수학습 이론, 현장 답사 등 ※ 교육대상자 및 교육내용 등 세부사항은 첨부된 공고문을 참조 교육대상자 선발 및 혜택 ○ 서류심사 및 최종 교육 대상자 발표 : 2024. 6. 7.(금) 17:00(예정) ※ 발표공지 : 홈페이지 공지 및 개별 연락 후 대상자에 한하여 해양문화 교육사 양성 교육 이수 가능 ○ 교육사 자격 취득 - 대면교육 출석률 70% 이상 및 비대면 교육 이수, 필기 및 교육시연 평균 60점 이상(각 영역 40점 미만 탈락) - 교육사 자격 취득 시 국립해양박물관 관장 명의 수료증 발급, 향후 교육문화팀 프로그램 운영 시 투입 검토 참고사항 ○ 제출서류는 첨부한 파일 양식을 다운받아 작성해 주시기 바랍니다. ○ 지원서를 사실과 다르게 기재하거나 기재 내용의 착오 또는 누락, 연락불가 등으로 인하여 발생하는 불이익은 지원자에게 책임이 있으며, 그에 따른 결과 처리는 국립해양박물관의 결정에 따릅니다. ○ 전형 일정, 장소 등은 국립해양박물관 사정에 따라 변경될 수 있어 선발과 관련한 공지사항은 홈페이지에 게시하므로 확인해야 하며, 공고된 내용 미숙지로 인한 불이익은 지원자 귀책사유로 합니다. ○ 기타 궁금한 사항은 국립해양박물관 교육문화팀 (051-309-1793)에게 문의바랍니다.​",세부대상:관련 전공자 및 교육에 경험이 있는 자|기간:2024-06-19~2024-08-21
교육운영데이터,박물관 체험/교육 프로그램,2019년 제1기 국립해양박물관 등대 해양문화 유산 탐방,성인,"○ (교육명) 2019년 제1기 국립해양박물관 등대 해양문화 유산 탐방 /  ○ (교육내용) 부산지방해양수산청과 협업으로, 등대 탐방, 전문가 강연, 예술(사진) 체험 등 다양한 장르의 활동을 경험할 수 있는 해양유산 탐방프로그램",세부대상:성인|기간:2019-05-17~2019-05-17
교육운영데이터,박물관 체험/교육 프로그램,2019년 제2기 국립해양박물관 등대 해양문화 유산 탐방,성인,"○ (교육명) 2019년 제2기 국립해양박물관 등대 해양문화 유산 탐방 /  ○ (교육내용) 부산지방해양수산청과 협업으로, 등대 탐방, 전문가 강연, 예술(사진) 체험 등 다양한 장르의 활동을 경험할 수 있는 해양유산 탐방프로그램",세부대상:성인|기간:2019-06-14~2019-06-14
교육운영데이터,박물관 체험/교육 프로그램,2019년 제3기 국립해양박물관 등대 해양문화 유산 탐방,성인,"○ (교육명) 2019년 제3기 국립해양박물관 등대 해양문화 유산 탐방 /  ○ (교육내용) 부산지방해양수산청과 협업으로, 등대 탐방, 전문가 강연, 예술(사진) 체험 등 다양한 장르의 활동을 경험할 수 있는 해양유산 탐방프로그램",세부대상:성인|기간:2019-08-23~2019-08-23
교육운영데이터,박물관 체험/교육 프로그램,2019년 제4기 국립해양박물관 등대 해양문화 유산 탐방,성인,"○ (교육명) 2019년 제4기 국립해양박물관 등대 해양문화 유산 탐방 /  ○ (교육내용) 부산지방해양수산청과 협업으로, 등대 탐방, 전문가 강연, 예술(사진) 체험 등 다양한 장르의 활동을 경험할 수 있는 해양유산 탐방프로그램",세부대상:성인|기간:2019-10-18~2019-10-18
교육운영데이터,박물관 체험/교육 프로그램,2019년 제1기 도슨트 양성 프로그램,전문가,"○ (교육명) 제1기 도슨트 양성 프로그램 기초과정  /  ○ (교육내용) 박물관 역할, 프리젠테이션 방법 등 도슨트 활동을 위한 기초 이론(사전교육) 및 실무 교육 / ○ (우대사항) 박물관 해양문화아카데미 과정 이수자 및 기존 자원봉사자, 해양수산 관련 종사자·전공자, 교육전문가 우대",세부대상:성인|기간:2019-06-05~2019-07-03
연수원교육과정,해기사/직무 자격과정,3급면허취득원격교육(상선기관),성인(직업인),지정교육기관에서 정규 해기사양성교육을 이수하지 않은 자로서 3급 기관사의 해기사 면허시험에 합격한 자에 대하여 체계적인 교육을 실시함으로써 우수한 해기사의 자질을 갖추도록 함. (해기사 시험 합격전.후 교육이수 가능),과정코드:DL02
연수원교육과정,해기사/직무 자격과정,3급면허취득원격교육(상선항해),성인(직업인),지정교육기관에서 정규 해기사양성교육을 이수하지 않은 자로서 3급 항해사의 해기사 면허시험에 합격한 자에 대하여 체계적인 교육을 실시함으로써 우수한 해기사의 자질을 갖추도록 함  (해기사 시험 합격전.후 교육이수 가능),과정코드:DL01
연수원교육과정,해기사/직무 자격과정,4급면허취득원격교육(상선기관),성인(직업인),지정교육기관에서 정규 해기사양성교육을 이수하지 않은 자로서 4급 기관사의 해기사 면허시험에 합격한 자에 대하여 체계적인 교육을 실시함으로써 우수한 해기사의 자질을 갖추도록 함 (해기사 시험 합격전.후 교육이수 가능),과정코드:DL04
